iteration,EF
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,19.230769230769223
27,18.518518518518512
28,17.85714285714285
29,17.241379310344822
30,16.66666666666666
31,16.12903225806451
32,15.624999999999993
33,15.151515151515145
34,14.705882352941169
35,14.28571428571428
36,13.888888888888882
37,13.513513513513507
38,13.157894736842099
39,12.820512820512814
40,12.499999999999995
41,12.195121951219507
42,11.904761904761902
43,11.627906976744184
44,11.363636363636363
45,11.11111111111111
46,10.869565217391305
47,10.638297872340427
48,10.41666666666667
49,10.204081632653065
50,10.000000000000004
51,9.803921568627455
52,9.61538461538462
53,9.43396226415095
54,9.259259259259265
55,9.090909090909097
56,8.928571428571434
57,8.77192982456141
58,8.62068965517242
59,8.474576271186448
60,8.333333333333341
61,8.196721311475418
62,8.064516129032267
63,7.936507936507946
64,7.812500000000008
65,7.6923076923077005
66,7.575757575757585
67,7.462686567164188
68,7.352941176470597
69,7.246376811594213
70,7.142857142857152
71,7.04225352112677
72,6.944444444444454
73,6.84931506849316
74,6.756756756756766
75,6.666666666666676
76,6.578947368421062
77,6.493506493506503
78,6.4102564102564195
79,6.329113924050643
80,6.25000000000001
81,6.172839506172849
82,6.097560975609766
83,6.024096385542179
84,5.952380952380961
85,5.882352941176481
86,5.8139534883721025
87,5.747126436781619
88,5.681818181818192
89,5.617977528089898
90,5.555555555555565
91,5.494505494505504
92,5.434782608695662
93,5.376344086021515
94,5.319148936170223
95,5.263157894736852
96,5.208333333333343
97,5.154639175257742
98,5.10204081632654
99,5.05050505050506
100,5.00000000000001
101,4.95049504950496
102,4.901960784313735
103,4.854368932038844
104,4.807692307692317
105,4.761904761904772
106,4.716981132075481
107,4.672897196261692
108,4.6296296296296395
109,4.587155963302762
110,4.545454545454555
111,4.5045045045045145
112,4.464285714285723
113,4.4247787610619564
114,4.385964912280711
115,4.347826086956531
116,4.310344827586216
117,4.273504273504283
118,4.2372881355932295
119,4.2016806722689175
120,4.166666666666676
121,4.132231404958687
122,4.098360655737714
123,4.065040650406513
124,4.032258064516138
125,4.000000000000009
126,3.968253968253977
127,3.9370078740157575
128,3.9062500000000093
129,3.875968992248071
130,3.846153846153855
131,3.8167938931297796
132,3.7878787878787965
133,3.759398496240611
134,3.7313432835820985
135,3.7037037037037126
136,3.676470588235303
137,3.649635036496359
138,3.62318840579711
139,3.5971223021582817
140,3.5714285714285805
141,3.5460992907801505
142,3.521126760563389
143,3.496503496503505
144,3.4722222222222303
145,3.4482758620689737
146,3.424657534246584
147,3.4013605442176957
148,3.378378378378387
149,3.3557046979865857
150,3.3333333333333415
151,3.3112582781457034
152,3.289473684210535
153,3.2679738562091587
154,3.246753246753255
155,3.2258064516129115
