Filename	10-23-23-pegda-pegmea-0a380-0litfsi
Instrument name	DSC2A-01583 (172.23.160.11)
Operator	JJS
rundate	10/7/2024
Sample name	10-23-23-pegda-pegmea-0a380-0litfsi
proceduresegments	Ramp 5.00 °C/min to 120.00 °C; Ramp 5.00 °C/min to -100.00 °C; Ramp 5.00 °C/min to 120.00 °C; Ramp 5.00 °C/min to -100.00 °C; Ramp 5.00 °C/min to 120.00 °C
[step]
Ramp 5.00 °C/min to -100.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
107.00	119.32	-0.188
107.01	119.32	-0.188
107.01	119.33	-0.188
107.00	119.31	-0.188
107.00	119.30	-0.188
107.00	119.32	-0.188
107.01	119.32	-0.188
107.01	119.33	-0.188
107.01	119.34	-0.188
107.00	119.31	-0.188
107.01	119.34	-0.188
107.01	119.36	-0.188
107.01	119.36	-0.188
107.02	119.37	-0.188
107.02	119.38	-0.188
107.02	119.39	-0.188
107.02	119.40	-0.188
107.01	119.35	-0.188
107.01	119.35	-0.188
107.01	119.36	-0.188
107.02	119.37	-0.188
107.02	119.38	-0.188
107.02	119.39	-0.188
107.02	119.40	-0.188
107.02	119.41	-0.188
107.01	119.36	-0.188
107.02	119.41	-0.188
107.03	119.42	-0.188
107.03	119.43	-0.188
107.03	119.44	-0.188
107.03	119.45	-0.188
107.03	119.45	-0.188
107.04	119.46	-0.188
107.04	119.47	-0.188
107.03	119.41	-0.188
107.03	119.41	-0.188
107.03	119.43	-0.188
107.03	119.44	-0.188
107.03	119.45	-0.188
107.03	119.45	-0.188
107.04	119.46	-0.188
107.04	119.47	-0.188
107.04	119.48	-0.188
107.03	119.42	-0.188
107.04	119.48	-0.188
107.04	119.49	-0.188
107.04	119.50	-0.188
107.05	119.51	-0.188
107.05	119.51	-0.188
107.05	119.52	-0.188
107.05	119.53	-0.188
107.05	119.54	-0.188
107.04	119.49	-0.188
107.04	119.49	-0.188
107.04	119.50	-0.188
107.05	119.51	-0.188
107.05	119.51	-0.188
107.05	119.52	-0.188
107.05	119.53	-0.188
107.05	119.54	-0.188
107.05	119.54	-0.188
107.04	119.49	-0.188
107.05	119.54	-0.188
107.06	119.56	-0.188
107.06	119.56	-0.188
107.06	119.57	-0.188
107.06	119.58	-0.188
107.06	119.58	-0.188
107.06	119.59	-0.188
107.07	119.59	-0.188
107.07	119.60	-0.188
107.07	119.60	-0.188
107.07	119.61	-0.188
107.05	119.55	-0.188
107.05	119.55	-0.188
107.06	119.56	-0.188
107.06	119.57	-0.188
107.06	119.58	-0.188
107.06	119.58	-0.188
107.06	119.59	-0.188
107.07	119.59	-0.188
107.07	119.60	-0.188
107.07	119.60	-0.188
107.07	119.61	-0.188
107.07	119.61	-0.189
107.06	119.56	-0.188
107.07	119.61	-0.189
107.08	119.62	-0.190
107.08	119.63	-0.191
107.08	119.63	-0.192
107.08	119.64	-0.193
107.08	119.62	-0.190
107.08	119.62	-0.190
107.08	119.63	-0.191
107.08	119.63	-0.192
107.08	119.64	-0.193
107.08	119.64	-0.194
107.08	119.62	-0.190
107.08	119.64	-0.194
107.09	119.65	-0.196
