"","print_type","material","fcomp_additive_wt_pct","fcomp_salt_wt_pct","ionic_conductivity_final"
"421","PCB print","LiTFSI",15,4.3,1.39372822299652e-06
"422","PCB print","LiTFSI",15,4.3,1.0498687664042e-06
"423","PCB print","LiTFSI",15,8.6,2.7972027972028e-06
"424","PCB print","LiTFSI",15,8.6,2.39520958083832e-06
"425","PCB print","LiTFSI",15,8.6,3.38983050847458e-06
"426","PCB print","LiTFSI",15,8.6,1.58730158730159e-06
"427","PCB print","LiTFSI",15,13,3.44827586206897e-06
"428","PCB print","LiTFSI",15,13,5.1150895140665e-06
"429","PCB print","LiTFSI",15,13,1.77777777777778e-06
"430","PCB print","LiTFSI",15,17,3.36134453781513e-06
"431","PCB print","LiTFSI",15,17,3.2520325203252e-06
"432","PCB print","LiTFSI",15,17,4.92610837438424e-06
"433","PCB print","LiTFSI",15,17,1.42857142857143e-06
"434","PCB print","LiTFSI",15,26,7.8740157480315e-06
"435","PCB print","LiTFSI",15,26,9.68523002421308e-06
"436","PCB print","LiTFSI",15,26,2.23463687150838e-05
"437","PCB print","LiTFSI",15,26,5.48696844993141e-06
"438","PCB print","LiTFSI",15,21,9.70873786407767e-06
"439","PCB print","LiTFSI",15,21,9.9009900990099e-06
"440","PCB print","LiTFSI",15,21,1.71673819742489e-05
"441","PCB print","LiTFSI",15,21,7.85854616895874e-06
"442","PCB print","LiTFSI",15,30,2.39520958083832e-07
"443","PCB print","LiTFSI",15,30,2.25988700564972e-07
"444","PCB print","LiTFSI",15,30,2.27272727272727e-07
"445","PCB print","LiTFSI",15,30,2.17391304347826e-07
"446","PCB print","LiTFSI",0,20,4.4296788482835e-06
"447","PCB print","LiTFSI",0,20,4.93827160493827e-06
"448","PCB print","LiTFSI",0,20,6.93240901213172e-06
"449","PCB print","LiTFSI",0,20,5.63380281690141e-06
"450","PCB print","LiTFSI",2.1,20,4.31965442764579e-06
"451","PCB print","LiTFSI",2.1,20,3.6036036036036e-06
"452","PCB print","LiTFSI",2.1,20,4.64576074332172e-06
"453","PCB print","LiTFSI",2.1,20,6.34920634920635e-06
"454","PCB print","LiTFSI",4.3,20,4.36205016357688e-06
"455","PCB print","LiTFSI",4.3,20,4.18410041841004e-06
"456","PCB print","LiTFSI",4.3,20,6.1633281972265e-06
"457","PCB print","LiTFSI",4.3,20,5.95238095238095e-06
"458","PCB print","LiTFSI",6.4,20,4.24178154825027e-06
"459","PCB print","LiTFSI",6.4,20,3.6697247706422e-06
"460","PCB print","LiTFSI",6.4,20,5.57103064066852e-06
"461","PCB print","LiTFSI",6.4,20,5.52486187845304e-06
"462","PCB print","LiTFSI",8.6,20,5.61797752808989e-06
"463","PCB print","LiTFSI",8.6,20,3.84615384615385e-06
"464","PCB print","LiTFSI",8.6,20,4.79041916167665e-06
"465","PCB print","LiTFSI",8.6,20,4.63499420625724e-06
"466","PCB print","LiTFSI",11,20,4.40528634361234e-06
"467","PCB print","LiTFSI",11,20,3.57142857142857e-06
"468","PCB print","LiTFSI",11,20,5.52486187845304e-06
"469","PCB print","LiTFSI",11,20,4.47928331466965e-06
"470","PCB print","LiTFSI",13,20,4.0650406504065e-06
"471","PCB print","LiTFSI",13,20,4.1025641025641e-06
"472","PCB print","LiTFSI",13,20,5.70613409415121e-06
"473","PCB print","LiTFSI",13,20,5.96125186289121e-06
"474","PCB print","LiTFSI",15,20,4e-06
"475","PCB print","LiTFSI",15,20,3.88349514563107e-06
"476","PCB print","LiTFSI",15,20,5.78871201157742e-06
"477","PCB print","LiTFSI",15,20,5.14800514800515e-06
"478","PCB print","LiTFSI",0,20,4.5662100456621e-06
"479","PCB print","LiTFSI",0,20,4.01203610832498e-06
"480","PCB print","LiTFSI",0,20,5.29801324503311e-06
"481","PCB print","LiTFSI",2.1,20,5e-06
"482","PCB print","LiTFSI",2.1,20,4.44938820912125e-06
"483","PCB print","LiTFSI",2.1,20,6.15384615384615e-06
"484","PCB print","LiTFSI",2.1,20,4.54545454545455e-06
