True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
10,10,149820.0,7104.7773,4964.8955,8667.644,-34.946266,11.681478981481632,-0.17107855,-8.015103e-06,0.00021396377,7.020344e-05,1.0,41,0.020813568,2.4012948e-06,0,-1.1877289275808305e-07,0.10552827,0.05170668,1.4992641,1.6499256e-05,8.011647e-06,1.0331956e-05,2.4765966e-06,2.5774384e-06,4.680495e-06,0.48942634,0.06295513,1.8334714,2.0445754e-09,5.31044e-09,2.666432e-09,3.2431369e-09,6.7316903e-09,5.084172e-09,1.0
11,11,101998.59,8741.245,4840.7925,9992.129,-28.977135,12.495482566795545,-0.17106391,-8.34518e-06,0.00032233648,7.5653035e-05,1.0,41,0.020831002,2.084741e-06,0,-1.2177265643560986e-07,0.115419,0.060193293,1.5121199,8.322864e-06,1.27089315e-05,9.185068e-06,3.2306348e-06,6.7821798e-06,1.0883152e-05,0.46903193,0.036004823,1.6135552,2.8739167e-09,2.7027114e-09,1.8773079e-09,4.705678e-09,5.0985416e-09,4.001912e-09,1.0
12,12,69449.59,10157.21,4352.649,11050.541,-23.19649,13.310498445498524,-0.17107967,-8.678985e-06,0.0005264981,8.1684e-05,1.0,41,0.020628842,1.8667721e-06,0,-1.2521098061335403e-07,0.11277582,0.19308966,1.5387557,9.504736e-06,1.1828672e-05,1.2800482e-05,7.884507e-06,5.196251e-06,7.2676376e-06,0.16659398,0.43217143,1.56714,1.1034808e-09,1.1809574e-09,2.152942e-09,8.731034e-10,6.0498245e-10,5.7901695e-10,1.0
13,13,47283.254,11406.119,3921.1353,12061.296,-18.971674,14.124488564179046,-0.17106925,-9.113495e-06,0.00085842225,9.072702e-05,1.0,41,0.020360518,1.6880871e-06,0,-1.2842777511529058e-07,0.10394808,0.023559587,1.5625726,1.26430095e-05,1.0486087e-05,4.8490524e-06,6.075739e-06,6.662085e-06,6.320858e-06,0.19181934,0.07102222,1.4725931,6.5578565e-10,1.6301877e-09,4.985229e-10,1.793667e-09,1.1414162e-09,1.1756892e-09,1.0
14,14,32196.41,12270.864,3416.7573,12737.674,-15.559581,14.93749132278026,-0.17110698,-8.8300385e-06,0.0014467668,0.000104099,1.0,41,0.02021563,1.5870739e-06,0,-1.3106732892551538e-07,0.115243435,0.09777791,1.5717872,5.265996e-06,1.469601e-05,8.639631e-06,1.1461459e-05,3.3180022e-06,6.1252813e-06,0.16905688,0.12669216,1.41134,3.820598e-10,1.2584728e-09,1.0750184e-09,9.420537e-10,1.161792e-09,1.2576465e-09,1.0
15,15,21915.822,12799.312,2998.851,13145.931,-13.1864195,15.616493541718228,-0.17110401,-8.62677e-06,0.0024216282,0.00012601858,1.0,41,0.020872721,1.5877705e-06,0,-1.3336735419197668e-07,0.13107648,0.07818567,1.508909,3.5897397e-06,1.4124439e-05,1.2403678e-05,1.6853088e-05,4.9247074e-06,7.476457e-06,0.13597077,0.11669771,1.3964969,4.3620174e-10,1.1665774e-09,1.0056842e-09,7.3773576e-10,9.661885e-10,3.4615083e-10,1.0
16,16,14919.832,13119.203,2799.478,13414.565,-12.045561,16.295486693939893,-0.17108227,-8.244477e-06,0.0038104749,0.00016595106,1.0,41,0.020653293,1.539617e-06,0,-1.354808485694687e-07,0.15440898,0.06848497,1.5078386,6.5534227e-06,2.0887097e-05,1.4994316e-05,1.1263283e-05,9.14611e-06,6.436769e-06,0.16995914,0.17120215,1.4281536,9.452349e-10,1.3376746e-09,5.8553246e-10,1.0993897e-09,1.3772636e-09,6.213378e-10,1.0
17,17,10159.962,13457.784,2820.7104,13750.213,-11.83766,16.974487526196754,-0.1710855,-8.567099e-06,0.0055535357,0.00023370485,1.0,41,0.019573258,1.4234877e-06,0,-1.3614373187903084e-07,0.16186796,0.04731824,1.6136624,6.6497937e-06,2.0145833e-05,1.7921202e-05,1.0879183e-05,3.966936e-06,8.239006e-06,0.17365296,0.06685474,1.5263555,1.0362089e-09,1.2258945e-09,9.826128e-10,1.0330381e-09,9.36504e-10,3.6541076e-10,1.0
18,18,6916.754,13827.391,3125.2168,14176.167,-12.7358,17.867222795292037,-0.17113397,-6.8141426e-06,0.0073627094,0.00035783293,1.0,41,0.020286294,1.431014e-06,0,-1.3728223046779122e-07,0.12606259,0.080495246,1.5647895,1.0085513e-05,1.6144608e-05,4.4144253e-06,1.2465057e-05,5.313358e-06,4.0285877e-06,0.15251766,0.103166185,1.5110773,8.308271e-10,1.3164285e-09,6.9451783e-10,1.0895734e-09,4.1515505e-10,6.251981e-10,1.0
19,19,4708.491,14349.264,3778.6042,14838.4375,-14.752831,18.63082584492804,-0.17115407,-8.680854e-06,0.008945548,0.0005800874,1.0,41,0.020306425,1.3685016e-06,0,-1.3868910099104268e-07,0.15665725,0.07562345,1.5669738,3.6106997e-06,1.9419835e-05,7.694358e-06,2.1090262e-05,5.32275e-06,8.781324e-06,0.14290532,0.11313329,1.5605364,5.881209e-10,1.1781496e-09,6.1469174e-10,1.0954858e-09,4.5382426e-10,4.496703e-10,1.0
