True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
52,52,149820.0,1522.635,45405.316,45430.84,-88.079346,54.96848298414261,-0.19410008,-1.1377106e-06,2.339611e-05,2.3369828e-05,2.0,41,0.021328017,4.694612e-07,0,-3.4121291491792823e-08,0.15880685,0.07155327,1.5109539,2.7265656e-05,1.4089699e-05,1.0718935e-05,4.8875254e-06,4.865445e-06,5.0144563e-06,1.0960528,0.16704436,5.184119,1.2240333e-09,1.0371136e-09,2.6091274e-09,1.260027e-09,5.6807883e-09,4.739685e-09,2.0
53,53,101998.59,2688.4587,66693.44,66747.6,-87.69162,55.94848241735599,-0.1940924,-1.0926438e-07,2.3396067e-05,2.335811e-05,2.0,42,0.01896126,2.8407402e-07,0,-3.42750925313311e-08,0.17996936,0.059116717,1.7351757,1.90538e-05,1.3680811e-05,1.2368378e-05,1.3212175e-05,8.031664e-06,1.1597549e-05,3.628402,0.22498874,9.265472,1.2403356e-09,1.736689e-09,2.0165674e-09,9.0593115e-09,1.157905e-09,3.7610746e-09,2.0
54,54,69449.59,4314.077,97054.01,97149.84,-87.454865,56.627499276277376,-0.19410019,-1.1242882e-07,2.3612229e-05,2.3565664e-05,2.0,42,0.021769797,2.2408474e-07,0,-3.431837530114162e-08,0.1319795,0.07170653,1.4825236,1.5772643e-05,1.624626e-05,1.2284906e-05,6.8664444e-06,6.5294635e-06,5.09241e-06,2.1891644,0.13758606,8.025892,6.2268934e-10,1.5154974e-09,1.8212956e-09,9.3063063e-10,2.4898503e-09,3.5328906e-09,2.0
55,55,47283.254,6936.416,141134.67,141305.02,-87.18632,57.44148736828356,-0.19410409,-1.2601788e-07,2.3849489e-05,2.3792021e-05,2.0,42,0.020343885,1.4397142e-07,0,-3.4252675669089465e-08,0.14509195,0.030813998,1.6168218,9.026394e-06,1.587224e-05,1.38854975e-05,1.4060418e-05,1.1158646e-05,2.9294652e-06,1.9085329,0.21739776,9.048776,5.2586796e-10,1.0220915e-09,4.7266724e-10,6.316152e-10,1.9423265e-09,1.2246221e-09,2.0
56,56,32196.41,10792.805,205038.64,205322.5,-86.986855,58.12048254723777,-0.19410138,-1.3327777e-07,2.4108876e-05,2.404226e-05,2.0,42,0.021126539,1.0289441e-07,0,-3.4266541468475766e-08,0.15016936,0.06007305,1.5689898,5.535373e-06,1.6922502e-05,1.950383e-05,1.2784706e-05,6.100043e-06,8.526222e-06,2.2975945,0.1684317,7.275036,3.2491643e-10,1.625197e-09,5.4881477e-10,1.1574802e-09,1.4442695e-09,1.0946785e-09,2.0
57,57,21915.822,18653.285,298968.53,299549.88,-86.429825,58.799497459462145,-0.19409204,-1.8316638e-07,2.4290524e-05,2.4196333e-05,2.0,42,0.02126559,7.099182e-08,0,-3.4332280067168795e-08,0.11798769,0.042008247,1.5611448,5.138227e-06,8.531836e-06,1.679868e-05,1.2268347e-05,6.1691135e-06,5.2576665e-06,1.5118809,0.23201698,6.582727,1.1845454e-10,4.7177934e-10,5.009463e-10,9.0025104e-10,4.5457355e-10,6.887766e-10,2.0
58,58,14919.832,31775.855,435763.2,436920.2,-85.82938,59.478484691731865,-0.19409811,-1.3774576e-07,2.4479676e-05,2.4350198e-05,2.0,42,0.02082638,4.7666326e-08,0,-3.434631148488935e-08,0.14724061,0.032847088,1.5612957,5.866807e-06,1.7157845e-05,9.137493e-06,1.711767e-05,7.729259e-06,1.1921435e-05,1.998668,0.16262424,9.833073,7.703783e-11,4.1405704e-10,2.7295616e-10,3.412257e-10,2.8552508e-10,6.1439503e-10,2.0
59,59,10159.962,58617.97,630450.2,633169.44,-84.68803,60.32449419857585,-0.1940956,-1.9020096e-08,2.484719e-05,2.4634228e-05,2.0,43,0.019509982,3.0813208e-08,0,-3.434806672661006e-08,0.15690143,0.06561249,1.6489328,4.5316538e-06,1.475363e-05,1.1010325e-05,1.9542586e-05,7.314483e-06,9.700178e-06,1.7178454,0.24392918,22.784595,8.068521e-11,1.8444613e-10,1.7335727e-10,1.9371907e-10,1.7229161e-10,3.2477634e-10,2.0
60,60,6916.754,111380.41,909471.7,916266.5,-83.017914,61.21720096099307,-0.1939914,-8.077231e-08,2.5300473e-05,2.492662e-05,2.0,43,0.020184455,2.2029022e-08,0,-3.4363228749934174e-08,0.12903157,0.06169108,1.6222333,5.9416984e-06,1.4998201e-05,3.7134776e-06,1.289035e-05,1.2795993e-05,4.826525e-06,3.5188432,0.29887936,21.785517,5.126214e-11,1.3336536e-10,6.5298467e-10,1.0614909e-10,2.6707908e-10,1.8417372e-10,2.0
61,61,4708.491,214362.6,1310868.1,1328279.5,-80.71278,61.98083979728108,-0.19399324,-3.9827498e-08,2.5785726e-05,2.5114148e-05,2.0,43,0.020198505,1.5206517e-08,0,-3.436889898062804e-08,0.13323489,0.059834547,1.6220275,5.060288e-06,1.546181e-05,4.050081e-06,1.9198016e-05,6.643978e-06,2.3594625e-06,2.7530458,0.2255904,21.901709,2.6951531e-11,8.776184e-11,1.1209369e-10,8.9107e-11,3.371268e-10,1.5394841e-10,2.0
62,62,3206.0295,414059.4,1852036.0,1897757.2,-77.39764,62.72269071252231,-0.19398975,-4.4740872e-08,2.680422e-05,2.552823e-05,2.0,43,0.0202161,1.0652627e-08,0,-3.438228261916374e-08,0.135936,0.12332901,1.615845,4.408293e-06,1.764778e-05,5.7869293e-06,1.818725e-05,2.5066108e-06,4.7906965e-06,2.3884242,0.18818565,21.756163,1.1097782e-10,2.6124292e-11,1.01788376e-10,7.324631e-11,1.0505203e-10,1.4742291e-10,2.0
63,63,2182.901,763881.9,2564377.0,2675732.5,-73.41215,63.46593024113099,-0.19400094,-4.3363645e-08,2.8431792e-05,2.6114554e-05,2.0,43,0.020211188,7.553516e-09,0,-3.4394582696969305e-08,0.16224696,0.09781133,1.619347,8.720679e-06,2.1198523e-05,7.337493e-06,2.0401812e-05,4.9037562e-06,5.7109596e-06,1.7462333,0.21898574,21.53043,2.8167978e-11,3.4003158e-11,6.5877914e-11,5.623432e-11,7.391037e-11,3.9615776e-11,2.0
