True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
52,52,149820.0,1458.3198,313.8755,1491.7153,-12.146524,58.332500797259854,-0.19278595,-2.4588504e-05,0.0033844877,0.00014984279,2.0,40,0.021020135,1.4091251e-05,0,-4.5173185977657225e-07,0.18600953,0.05250956,1.7873758,1.802773e-05,2.3335642e-05,2.0665344e-05,9.2878245e-06,9.025017e-06,3.3316087e-06,0.22319278,0.0568312,1.7019551,1.5458982e-08,1.7144867e-08,1.0575239e-08,7.9341556e-09,2.3506304e-09,1.4682344e-08,2.0
53,53,101998.59,1509.5624,230.05423,1526.9917,-8.665088,59.146496249275515,-0.19278608,-2.1603502e-05,0.0067825927,0.00015395111,2.0,40,0.020938188,1.37120505e-05,0,-4.702536857203141e-07,0.15497282,0.04831321,1.7361364,1.3700718e-05,1.4642632e-05,9.64292e-06,2.12019e-05,7.04585e-06,6.8332038e-06,0.1706476,0.036797736,1.6960871,1.0298019e-08,9.598508e-09,1.01315e-08,3.6255627e-09,7.4248425e-09,1.18099495e-08,2.0
54,54,69449.59,1536.7377,167.01714,1545.787,-6.202727,59.9604972746165,-0.19278859,-2.4476562e-05,0.013721114,0.00016018143,2.0,40,0.020616712,1.3337356e-05,0,-4.812851266396005e-07,0.0949015,0.06833464,1.8192408,4.9778255e-06,9.229803e-06,9.733809e-06,6.6028183e-06,2.9899488e-06,9.0740805e-06,0.1504955,0.074996494,1.7254525,6.9377797e-09,1.1400511e-08,6.8072223e-09,5.214266e-09,7.5657045e-09,8.6547205e-09,2.0
55,55,47283.254,1549.8297,120.60127,1554.515,-4.4495516,60.77449621996493,-0.19279021,-2.0931886e-05,0.027910069,0.00016798667,2.0,40,0.020432957,1.3144265e-05,0,-4.810566458097204e-07,0.14906715,0.050150547,1.8042917,9.427288e-06,1.590937e-05,1.1687358e-05,1.431429e-05,9.76658e-06,5.2046585e-06,0.13999662,0.04874453,1.7301667,3.6983545e-09,1.14304015e-08,8.123474e-09,4.374676e-09,3.9295274e-09,8.166736e-09,2.0
56,56,32196.41,1557.5719,88.82217,1560.1024,-3.263817,61.588490818598075,-0.19278415,-3.0017469e-05,0.05565335,0.00018039638,2.0,40,0.020312898,1.3020233e-05,0,-4.840044413782702e-07,0.11739676,0.108413465,1.8381811,1.0332201e-05,8.613941e-06,1.2695731e-05,3.3880071e-06,9.921733e-06,8.386664e-06,0.0933654,0.067625605,1.7366439,4.0060977e-09,5.7089715e-09,3.2620473e-09,5.271211e-09,2.9953908e-09,5.7631704e-09,2.0
57,57,21915.822,1562.0009,69.5925,1563.5504,-2.5510366,62.26748911754112,-0.19279677,-2.2554977e-05,0.104351796,0.00020672882,2.0,40,0.021067789,1.3474327e-05,0,-4.813973218613196e-07,0.14385325,0.04885905,1.7354454,1.1007672e-05,1.8409668e-05,8.355981e-06,1.4366747e-05,5.6739036e-06,9.238291e-06,0.106382556,0.049484786,1.6829197,5.205098e-09,6.6534263e-09,6.89273e-09,5.702429e-09,4.2670445e-09,5.0140256e-09,2.0
58,58,14919.832,1565.6038,59.16075,1566.7212,-2.1640527,62.946485416410724,-0.19279055,-2.4140747e-05,0.18031113,0.00025710257,2.0,40,0.020964324,1.3381018e-05,0,-4.785803045246331e-07,0.1325251,0.06966466,1.7712644,7.5086505e-06,1.7636381e-05,1.2678471e-05,8.9776195e-06,8.567847e-06,8.714561e-06,0.1316534,0.06179779,1.700221,2.4712707e-09,1.1508212e-08,6.8376314e-09,9.960196e-09,3.7952854e-09,2.1783866e-09,2.0
59,59,10159.962,1568.0879,55.41434,1569.0668,-2.0239217,63.625481075345306,-0.19280197,-2.0148318e-05,0.28268704,0.00035258787,2.0,40,0.019972928,1.2729177e-05,0,-4.912587568727879e-07,0.16372512,0.028471313,1.8587909,1.1206547e-05,1.5754362e-05,1.5183058e-05,1.4928389e-05,8.5195215e-06,7.445199e-06,0.1456508,0.045409925,1.779407,4.0532235e-09,1.39664e-08,3.2650616e-09,9.508556e-09,4.8688156e-09,1.5715915e-09,2.0
60,60,6916.754,1570.1754,60.101357,1571.3252,-2.1920314,64.51822439776151,-0.1928626,-1.7443164e-05,0.3828543,0.0005601056,2.0,40,0.02031231,1.2926866e-05,0,-4.7128104190826373e-07,0.12392359,0.056066077,1.7943105,7.550397e-06,1.0555156e-05,6.0741745e-06,1.8101497e-05,8.200412e-06,3.6862004e-06,0.14546403,0.08462295,1.7921196,6.851947e-09,1.0450878e-08,5.59608e-09,9.939583e-09,3.7088606e-09,6.4516685e-09,2.0
61,61,4708.491,1572.3036,71.61822,1573.9338,-2.6080124,65.28280952744535,-0.19285302,-1.8021503e-05,0.47197053,0.0009772123,2.0,40,0.020358335,1.2934683e-05,0,-4.838499682313461e-07,0.113135375,0.088836804,1.8009564,5.6711856e-06,1.4373617e-05,5.7413467e-06,1.032145e-05,7.330664e-06,8.404489e-06,0.1633999,0.054602683,1.7378331,6.3564625e-09,1.4457782e-08,3.348447e-09,9.823545e-09,4.4030384e-09,6.9739627e-09,2.0
62,62,3206.0295,1576.9327,92.96966,1579.6709,-3.3740249,66.02472249602579,-0.19284797,-2.0111022e-05,0.53396326,0.0018495267,2.0,40,0.02038137,1.2902289e-05,0,-4.852441416406003e-07,0.124522164,0.124814846,1.8009346,7.4804993e-06,1.4393485e-05,1.0173154e-05,1.2191547e-05,5.7473803e-06,5.237699e-06,0.14070421,0.17503755,1.7659075,3.3105494e-09,1.32674005e-08,2.8899099e-09,8.481744e-09,5.1324305e-09,5.309788e-09,2.0
63,63,2182.901,1584.6163,126.18091,1589.6322,-4.5527806,66.76895490469178,-0.19285294,-1.5111127e-05,0.5778199,0.0036407132,2.0,40,0.02039505,1.28300435e-05,0,-4.824193434458234e-07,0.1362764,0.12442961,1.7989335,7.696386e-06,1.8565548e-05,8.108283e-06,1.1184266e-05,7.1975783e-06,7.4732748e-06,0.13243432,0.1183311,1.755755,4.26199e-09,9.914114e-09,5.9182836e-09,9.187978e-09,3.011433e-09,5.8168554e-09,2.0
64,64,1486.4281,1594.745,174.55916,1604.2701,-6.246669,67.51156701994478,-0.19286948,-2.0819945e-05,0.6133856,0.0072621275,2.0,40,0.020393921,1.2712274e-05,0,-4.822470220457357e-07,0.14135432,0.07011995,1.8279421,8.339015e-06,1.2015329e-05,1.4567302e-05,1.5560183e-05,5.816595e-06,8.1243115e-06,0.15836155,0.044959646,1.7772566,4.405586e-09,1.05472076e-08,4.381453e-09,1.3934454e-08,6.0197194e-09,2.6489186e-09,2.0
65,65,1012.2657,1613.8234,240.46036,1631.6394,-8.474746,68.25433238854748,-0.1928539,-2.2629612e-05,0.65385604,0.014201059,2.0,40,0.02039458,1.2499441e-05,0,-4.800212792195219e-07,0.13654138,0.059480626,1.8228588,4.0059454e-06,2.090952e-05,4.5197894e-06,1.4087412e-05,5.7511666e-06,6.2572617e-06,0.16266401,0.06257298,1.7976587,3.2562666e-09,1.4337384e-08,2.4919364e-09,1.1201261e-08,2.3009785e-09,6.783855e-09,2.0
66,66,688.8978,1644.1721,333.543,1677.663,-11.467618,68.99905877062702,-0.19284612,-2.2853481e-05,0.6926494,0.027378378,2.0,40,0.020396562,1.2157723e-05,0,-4.839435372690149e-07,0.15322545,0.052816704,1.779319,9.156854e-06,1.318652e-05,6.6753723e-06,2.211595e-05,8.7983935e-06,6.2946237e-06,0.16992013,0.076480314,1.8523569,6.0434524e-09,1.3263903e-08,8.64726e-09,9.664288e-09,3.856489e-09,4.194405e-09,2.0
67,67,468.94922,1691.442,453.53217,1751.1903,-15.00985,69.74419203263824,-0.19282877,-8.693419e-06,0.7483181,0.05019214,2.0,40,0.02039621,1.16470555e-05,0,-4.833223606855294e-07,0.14856763,0.05227283,1.8123456,1.0502841e-05,1.7485901e-05,7.1582103e-06,1.38719615e-05,8.844367e-06,8.587419e-06,0.17689925,0.04713067,1.9607383,5.2034337e-09,1.28935564e-08,3.2436434e-09,1.13297265e-08,4.1654684e-09,7.786448e-09,2.0
68,68,319.28494,1758.2059,608.958,1860.6768,-19.103626,70.48922761468566,-0.1928364,-1.34507745e-05,0.8185672,0.0876773,2.0,40,0.020390604,1.0958703e-05,0,-4.820608738698632e-07,0.12306368,0.040637694,1.8193338,5.8011697e-06,1.706501e-05,6.7311794e-06,1.3318666e-05,8.373428e-06,2.0134078e-06,0.19957913,0.068326846,2.08159,5.322342e-09,1.2708343e-08,3.1739371e-09,8.105138e-09,1.3112902e-08,5.049464e-09,2.0
69,69,217.43552,1846.5947,808.4929,2015.8306,-23.645203,71.23051994325942,-0.19284084,-1.0129995e-05,0.90534365,0.14563234,2.0,40,0.020388097,1.0113993e-05,0,-4.781993654026104e-07,0.14398304,0.056418758,1.7777178,4.6830414e-06,1.2518758e-05,5.347761e-06,1.9405607e-05,1.06188045e-05,1.088081e-05,0.1886498,0.08287697,2.2367501,2.2497089e-09,7.52139e-09,5.712741e-09,1.42195375e-08,4.2875095e-09,6.795319e-09,2.0
70,70,148.05719,1949.8392,1068.4286,2223.3787,-28.72086,71.98037533884053,-0.19283156,-7.611423e-06,1.0061092,0.23233213,2.0,40,0.020386698,9.169242e-06,0,-4.711093697901529e-07,0.14945932,0.031060198,1.8266888,2.5333443e-06,9.447783e-06,6.013543e-06,2.1105354e-05,1.4431816e-05,9.6393815e-06,0.19796416,0.0858347,2.5223057,3.1184173e-09,1.0070478e-08,5.7060148e-09,9.462878e-09,6.7890014e-09,5.824264e-09,2.0
71,71,100.80636,2069.423,1414.1324,2506.4482,-34.3466,72.97117759924731,-0.19284998,3.0465117e-06,1.1164573,0.35538968,2.0,41,0.02041774,8.146085e-06,0,-4.6679384777659214e-07,0.09411128,0.05252966,1.8696954,3.5952253e-06,1.1185553e-05,3.115896e-06,9.9739045e-06,3.7278287e-06,9.430942e-06,0.15567975,0.0140747195,0.4753235,1.5615074e-09,9.005965e-09,1.7397558e-09,8.491683e-09,9.527623e-10,1.0471426e-09,2.0
72,72,68.616714,2199.4038,1900.8265,2906.9775,-40.835094,73.70979723437631,-0.19284047,3.1379648e-06,1.220247,0.52173424,2.0,41,0.020405132,7.0193637e-06,0,-4.612123548186465e-07,0.16787547,0.03636204,1.8887293,9.194553e-06,2.6109079e-05,7.819437e-06,1.5153805e-05,6.911915e-06,3.8782932e-06,0.16513641,0.014756463,0.5523511,1.6868114e-09,7.398106e-09,8.419665e-10,8.57101e-09,1.2630154e-09,5.835712e-10,2.0
73,73,46.71924,2345.8284,2593.1243,3496.742,-47.866432,74.4133987344394,-0.19283898,1.3590353e-06,1.3137146,0.72247124,2.0,41,0.0203964,5.832973e-06,0,-4.551589302116825e-07,0.13756248,0.048019037,1.8988825,8.677296e-06,1.515818e-05,8.174711e-06,1.658485e-05,7.0410815e-06,8.653968e-06,0.19911052,0.026768925,0.67367417,1.1004947e-09,7.972478e-09,2.2401507e-09,7.857605e-09,8.8987534e-10,1.2255748e-09,2.0
74,74,31.801239,2521.434,3590.6045,4387.49,-54.922276,75.11242642093566,-0.19284065,2.6488249e-06,1.3938259,0.93349355,2.0,41,0.020389082,4.6470946e-06,0,-4.5470291547591224e-07,0.16797996,0.041502394,1.8750535,2.9304665e-06,1.998325e-05,1.36553335e-05,2.0071137e-05,5.309096e-06,9.005332e-06,0.22316197,0.04626056,0.83879954,1.7319887e-09,6.6626518e-09,5.7596294e-10,7.683927e-09,5.427166e-10,5.4511967e-10,2.0
75,75,21.656305,2750.2773,5025.435,5728.789,-61.30937,75.80645760058542,-0.19284871,1.7453765e-06,1.4623864,1.1253401,2.0,41,0.020377005,3.556948e-06,0,-4.5521301949227046e-07,0.13454895,0.060037166,1.8774683,8.2109755e-06,1.3338325e-05,4.4210565e-06,1.7352446e-05,6.87885e-06,9.781473e-06,0.22042505,0.056341067,1.0988199,1.3662093e-09,5.1832334e-09,7.977653e-10,5.4618035e-09,1.2883534e-09,3.9446374e-10,2.0
76,76,14.74984,3078.765,7088.407,7728.1504,-66.52286,76.53414078181959,-0.19285092,1.36082e-06,1.5222436,1.2806497,2.0,41,0.020385128,2.6377757e-06,0,-4.6782859670656446e-07,0.14026792,0.061123963,1.8798747,9.563377e-06,1.0571053e-05,1.3311454e-05,1.6257656e-05,3.4328293e-06,1.18457665e-05,0.2583148,0.091769226,1.499475,9.79307e-10,4.438795e-09,4.4968004e-10,4.9069757e-09,6.9289746e-10,7.1847717e-10,2.0
77,77,10.041743,3551.6992,10018.087,10629.047,-70.479126,77.24994822917506,-0.19285144,1.823722e-06,1.5820719,1.4054233,2.0,41,0.020377135,1.9171177e-06,0,-4.5990707904658733e-07,0.14864834,0.055868376,1.8939661,8.024565e-06,1.9949788e-05,6.320321e-06,1.4088958e-05,1.9832146e-06,1.0769564e-05,0.34877932,0.06857995,2.0272837,1.2407471e-09,4.246343e-09,1.1059061e-09,4.547538e-09,1.3070529e-09,4.57526e-10,2.0
78,78,6.8350806,4291.953,14174.628,14810.163,-73.154144,78.48842431462253,-0.19283654,-9.492338e-07,1.6427249,1.5047642,2.0,42,0.020386241,1.3765035e-06,0,-4.5699424721184476e-07,0.13160875,0.038992453,1.3176551,1.09146695e-05,1.6241322e-05,4.931362e-06,1.5175456e-05,5.820592e-06,4.3474324e-06,0.41455644,0.17844695,0.8279081,1.2143551e-09,4.0251997e-09,8.456e-10,3.3653775e-09,1.1796155e-09,9.1434327e-10,2.0
79,79,4.6544523,5385.309,20043.633,20754.488,-74.960976,79.64159724934143,-0.19284347,3.3289902e-07,1.7059845,1.5911236,2.0,42,0.020377712,9.81846e-07,0,-4.585213717703564e-07,0.11214164,0.036557566,1.0849006,3.5896462e-06,1.8157254e-05,4.620077e-06,1.1219633e-05,2.1793508e-06,3.2263076e-06,0.3821408,0.10917913,0.999061,6.19052e-10,2.1979443e-09,7.2374967e-10,2.8366016e-09,3.221173e-10,2.6985553e-10,2.0
80,80,3.1693728,7053.3394,28241.963,29109.416,-75.97741,81.19401996317902,-0.19284165,-1.7175144e-07,1.7780825,1.6736887,2.0,42,0.020376423,6.9999425e-07,0,-4.6284098778518987e-07,0.102470815,0.021578504,0.84688914,2.9581975e-06,1.3406177e-05,3.146259e-06,1.4515521e-05,1.0921668e-06,4.4691824e-06,0.33972347,0.15281731,1.3396021,6.1458466e-10,1.1898443e-09,4.282734e-10,1.7795436e-09,2.521111e-10,3.571622e-10,2.0
81,81,2.1581502,9650.865,39722.84,40878.395,-76.344284,83.34601587872021,-0.19283621,3.4232136e-07,1.8565137,1.7530371,2.0,42,0.020377606,4.984933e-07,0,-4.529805014079563e-07,0.11087169,0.01803066,0.65791285,3.0568995e-06,1.5852578e-05,4.9563305e-06,1.4203385e-05,3.009567e-06,3.4633717e-06,0.43562594,0.15345384,1.6908014,5.225297e-10,1.2762787e-09,3.4037126e-10,1.6089245e-09,1.8377391e-10,1.6801355e-10,2.0
82,82,1.4679656,13606.532,55570.754,57212.293,-76.241776,87.79884337024123,-0.1928388,3.45499e-07,1.9510031,1.8406526,2.0,43,0.02038424,3.5629128e-07,0,-4.5019330496089716e-07,0.10864907,0.018470423,0.5317104,4.321377e-06,1.5758222e-05,3.6279323e-06,1.3736274e-05,2.634064e-06,2.9012967e-06,0.4172067,0.039189517,1.2927425,2.29625e-10,9.0704527e-10,1.9071049e-10,1.1253747e-09,1.0409846e-10,1.2803769e-10,2.0
83,83,1.0000616,19600.166,77294.055,79740.44,-75.77091,92.14096098981099,-0.19283009,2.2253273e-07,2.0589569,1.9345601,2.0,43,0.020382201,2.5560684e-07,0,-4.432581837730191e-07,0.10699926,0.031049484,0.45134434,4.631031e-06,1.5413916e-05,2.8663778e-06,1.3769847e-05,2.4361743e-06,1.8624029e-06,0.3963773,0.03889501,1.6437824,2.683459e-10,6.1565686e-10,1.3024613e-10,7.3685785e-10,4.3856724e-11,1.03789706e-10,2.0
