Filename	10172024_PEGDA_PEGMEA_0_Aerosil380_20_LITFSI-1
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA no aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature
min	MPa	%	°C
2.46	0.0659664	16.2364	30.21
2.48	0.0680081	16.3432	30.21
2.49	0.0701026	16.4501	30.21
2.51	0.0722533	16.5568	30.21
2.53	0.0744652	16.6637	30.21
2.54	0.0767317	16.7705	30.22
2.56	0.0790025	16.8774	30.21
2.58	0.0813086	16.9842	30.21
2.59	0.0836183	17.0910	30.21
2.61	0.0859687	17.1979	30.22
2.63	0.0883372	17.3048	30.22
2.64	0.0907200	17.4116	30.22
2.66	0.0931240	17.5185	30.22
2.68	0.0955480	17.6253	30.22
2.69	0.0980005	17.7322	30.22
2.71	0.100457	17.8391	30.22
2.73	0.102944	17.9459	30.22
2.74	0.105431	18.0527	30.22
2.76	0.107953	18.1596	30.22
2.78	0.110487	18.2665	30.22
2.79	0.113043	18.3733	30.22
2.81	0.115622	18.4801	30.22
2.83	0.118209	18.5870	30.22
2.84	0.120838	18.6939	30.22
2.86	0.123460	18.8007	30.22
2.88	0.126111	18.9075	30.22
2.89	0.128770	19.0144	30.22
2.91	0.131456	19.1213	30.22
2.93	0.134159	19.2281	30.22
2.94	0.136868	19.3349	30.22
2.96	0.139598	19.4418	30.22
2.98	0.142330	19.5486	30.22
2.99	0.145102	19.6554	30.22
3.01	0.147873	19.7623	30.22
3.03	0.150684	19.8692	30.22
3.04	0.153496	19.9761	30.23
3.06	0.156328	20.0829	30.23
3.08	0.159168	20.1898	30.23
3.09	0.162014	20.2966	30.23
3.11	0.164880	20.4034	30.23
3.13	0.167736	20.5103	30.23
3.14	0.170630	20.6171	30.23
3.16	0.173522	20.7240	30.23
3.18	0.176443	20.8309	30.23
3.19	0.179368	20.9378	30.23
3.21	0.182315	21.0445	30.23
3.23	0.185266	21.1514	30.23
3.24	0.188226	21.2583	30.23
3.26	0.191227	21.3651	30.23
3.28	0.194204	21.4720	30.23
3.29	0.197239	21.5788	30.23
3.31	0.200269	21.6856	30.23
3.33	0.203327	21.7924	30.23
3.34	0.206381	21.8994	30.23
3.36	0.209445	22.0062	30.23
3.38	0.212525	22.1131	30.24
3.39	0.215570	22.2200	30.23
3.41	0.218471	22.3269	30.24
3.43	0.221463	22.4337	30.24
3.44	0.224548	22.5405	30.24
3.46	0.227593	22.6474	30.24
3.48	0.230657	22.7543	30.24
3.49	0.233771	22.8611	30.24
3.51	0.236961	22.9679	30.24
3.53	0.240180	23.0747	30.24
3.54	0.243402	23.1816	30.24
3.56	0.246668	23.2884	30.24
3.58	0.249917	23.3953	30.24
3.59	0.253197	23.5021	30.24
3.61	0.256466	23.6091	30.24
3.63	0.259733	23.7159	30.24
3.64	0.262993	23.8227	30.24
3.66	0.266270	23.9295	30.24
3.68	0.269567	24.0364	30.24
3.69	0.272848	24.1433	30.24
3.71	0.276141	24.2501	30.25
3.73	0.279397	24.3570	30.25
3.74	0.282695	24.4639	30.25
3.76	0.285980	24.5708	30.25
3.78	0.289283	24.6776	30.25
3.79	0.292574	24.7845	30.25
3.81	0.295904	24.8913	30.25
3.83	0.299245	24.9982	30.25
3.84	0.302577	25.1050	30.25
3.86	0.305930	25.2118	30.25
3.88	0.309276	25.3187	30.25
3.89	0.312534	25.4257	30.25
3.91	0.315821	25.5324	30.26
3.93	0.319206	25.6393	30.26
3.94	0.322602	25.7462	30.26
3.96	0.325952	25.8530	30.26
3.98	0.329315	25.9599	30.26
3.99	0.332682	26.0668	30.26
4.01	0.336134	26.1736	30.26
4.03	0.339595	26.2805	30.26
4.04	0.343114	26.3872	30.26
4.06	0.346660	26.4940	30.26
4.08	0.350273	26.6009	30.26
4.09	0.353906	26.7077	30.26
4.11	0.357599	26.8146	30.26
4.13	0.361317	26.9214	30.26
4.14	0.365046	27.0282	30.26
4.16	0.368829	27.1351	30.26
4.18	0.372620	27.2420	30.26
4.19	0.376449	27.3488	30.27
4.21	0.380253	27.4556	30.27
4.23	0.384110	27.5625	30.27
4.24	0.387983	27.6693	30.27
4.26	0.391892	27.7761	30.27
4.28	0.395798	27.8831	30.27
4.29	0.399720	27.9899	30.27
4.31	0.403407	28.0969	30.27
4.33	0.407178	28.2037	30.27
4.34	0.410897	28.3110	30.27
4.36	0.413708	28.4177	30.27
4.38	0.417256	28.5243	30.28
4.39	0.420932	28.6311	30.28
4.41	0.424595	28.7381	30.28
4.43	0.428099	28.8451	30.28
4.44	0.431681	28.9518	30.28
4.46	0.435529	29.0586	30.28
4.48	0.439453	29.1655	30.28
4.49	0.442431	29.2727	30.28
4.51	0.446029	29.3793	30.28
4.53	0.449481	29.4863	30.28
4.54	0.452924	29.5929	30.28
4.56	0.456709	29.6996	30.28
4.58	0.460602	29.8066	30.28
4.59	0.464352	29.9136	30.29
4.61	0.467315	30.0209	30.29
4.63	0.469726	30.1280	30.29
4.64	0.473014	30.2341	30.29
4.66	0.476837	30.3409	30.29
4.68	0.480872	30.4476	30.29
4.69	0.484942	30.5544	30.29
4.71	0.488042	30.6621	30.29
4.73	0.491422	30.7685	30.29
4.74	0.493828	30.8761	30.29
4.76	0.497084	30.9811	30.29
4.78	0.500987	31.0881	30.29
4.79	0.505193	31.1946	30.29
4.81	0.509419	31.3015	30.30
4.83	0.508110	31.4151	30.30
4.84	0.506656	31.5155	30.30
4.86	0.510641	31.6224	30.30
4.88	0.514827	31.7298	30.30
4.89	0.519130	31.8368	30.30
4.91	0.523456	31.9438	30.30
4.93	0.527760	32.0505	30.30
4.94	0.532135	32.1571	30.30
4.96	0.536455	32.2642	30.30
4.98	0.540874	32.3710	30.30
4.99	0.544969	32.4783	30.31
5.01	0.548645	32.5852	30.31
5.03	0.550037	32.6945	30.31
5.04	0.551093	32.7987	30.31
5.06	0.555125	32.9054	30.31
5.08	0.559145	33.0136	30.31
5.09	0.559907	33.1201	30.31
5.11	0.562838	33.2268	30.31
5.13	0.566331	33.3331	30.31
5.14	0.569243	33.4407	30.31
5.16	0.569379	33.5563	30.31
5.18	0.554919	33.6570	30.32
5.19	0.557017	33.7608	30.32
5.21	0.560582	33.8677	30.32
5.23	0.563684	33.9745	30.32
5.24	0.567332	34.0811	30.32
5.26	0.570790	34.1883	30.32
5.28	0.574371	34.2948	30.32
5.29	0.578331	34.4016	30.32
5.31	0.582390	34.5084	30.32
5.33	0.586344	34.6154	30.32
5.34	0.587392	34.7226	30.32
5.36	0.587392	34.8296	30.33
5.38	0.587391	34.9368	30.33
5.39	0.587391	35.0431	30.33
5.41	0.587390	35.1526	30.33
5.43	0.587390	35.2570	30.33
5.44	0.587389	35.3644	30.33
5.46	0.587389	35.4746	30.33
5.48	0.587388	35.5858	30.33
5.49	0.585908	35.6882	30.33
5.51	0.582323	35.7962	30.33
5.53	0.579806	35.9002	30.33
5.54	0.578911	36.0067	30.33
5.56	0.578389	36.1166	30.34
5.58	0.561050	36.2307	30.34
5.59	0.554519	36.3301	30.34
5.61	0.548325	36.4365	30.34
5.63	0.543417	36.5448	30.34
5.64	0.537773	36.6498	30.34
5.66	0.536238	36.7551	30.34
5.68	0.534964	36.8638	30.34
5.69	0.529250	36.9715	30.34
5.71	0.524552	37.0779	30.34
5.73	0.521746	37.1827	30.35
5.74	0.522620	37.2881	30.35
5.76	0.524046	37.3951	30.35
5.78	0.525227	37.5025	30.35
5.79	0.525851	37.6087	30.35
5.81	0.526972	37.7161	30.35
5.83	0.526611	37.8261	30.35
5.84	0.515751	37.9357	30.35
5.86	0.509543	38.0401	30.35
5.88	0.507634	38.1445	30.35
5.89	0.505739	38.2516	30.36
5.91	0.505453	38.3575	30.36
5.93	0.505972	38.4642	30.36
5.94	0.503403	38.5798	30.36
5.96	0.487728	38.6809	30.36
5.98	0.485373	38.7873	30.36
5.99	0.476808	38.8970	30.36
6.01	0.471556	39.0020	30.36
6.03	0.464746	39.1105	30.36
6.04	0.453834	39.2220	30.36
6.06	0.441095	39.3230	30.37
6.08	0.435879	39.4280	30.37
6.09	0.433281	39.5345	30.37
6.11	0.430550	39.6414	30.37
6.13	0.427149	39.7540	30.37
6.14	0.403931	39.8667	30.37
6.16	0.376775	39.9779	30.37
6.18	0.358812	40.0725	30.37
6.19	0.352542	40.1765	30.37
6.21	0.344672	40.2876	30.37
6.23	0.337863	40.3896	30.37
6.24	0.336187	40.4954	30.38
6.26	0.335411	40.6019	30.38
6.28	0.334885	40.7094	30.38
6.29	0.332991	40.8166	30.38
6.31	0.331482	40.9227	30.38
6.33	0.331765	41.0291	30.38
6.34	0.332367	41.1356	30.38
6.36	0.333008	41.2426	30.38
6.38	0.333849	41.3492	30.38
6.39	0.334837	41.4561	30.39
6.41	0.335298	41.5639	30.39
6.43	0.334167	41.6712	30.39
6.44	0.333041	41.7782	30.39
6.46	0.328480	41.8882	30.39
6.48	0.320128	41.9954	30.39
6.49	0.315469	42.0996	30.39
6.51	0.312126	42.2068	30.39
6.53	0.309136	42.3126	30.39
6.54	0.307297	42.4198	30.40
6.56	0.305062	42.5265	30.40
6.58	0.302945	42.6329	30.40
6.59	0.301860	42.7399	30.40
6.61	0.299848	42.8471	30.40
6.63	0.297895	42.9538	30.40
6.64	0.296174	43.0605	30.40
6.66	0.292733	43.1696	30.40
6.68	0.289290	43.2741	30.40
6.69	0.288442	43.3806	30.40
6.71	0.286269	43.4889	30.40
6.73	0.281445	43.6003	30.41
6.74	0.270472	43.7032	30.41
6.76	0.268264	43.8084	30.41
6.78	0.267327	43.9148	30.41
6.79	0.266867	44.0215	30.41
6.81	0.266576	44.1285	30.41
6.83	0.265988	44.2353	30.41
6.84	0.266155	44.3418	30.41
6.86	0.266733	44.4483	30.42
6.88	0.266634	44.5555	30.42
6.89	0.267060	44.6620	30.42
6.91	0.268026	44.7690	30.42
6.93	0.268807	44.8757	30.42
6.94	0.269175	44.9832	30.42
6.96	0.269236	45.0901	30.42
6.98	0.269381	45.1966	30.42
