Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI-b
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
0.49	0.0134740	3.85020	30.96	0.513226	49.0258
0.51	0.0140830	3.98106	30.96	0.536422	50.6921
0.53	0.0147021	4.11194	30.97	0.560002	52.3586
0.54	0.0153240	4.24281	30.97	0.583692	54.0250
0.56	0.0159585	4.37366	30.97	0.607861	55.6912
0.58	0.0166135	4.50453	30.98	0.632806	57.3575
0.59	0.0172707	4.63540	30.98	0.657841	59.0239
0.61	0.0179415	4.76626	30.98	0.683391	60.6902
0.63	0.0186115	4.89714	30.99	0.708911	62.3568
0.64	0.0192983	5.02799	30.99	0.735072	64.0230
0.66	0.0199971	5.15885	30.99	0.761690	65.6892
0.68	0.0207023	5.28973	31.00	0.788551	67.3557
0.69	0.0214231	5.42060	31.00	0.816007	69.0221
0.71	0.0221501	5.55146	31.01	0.843696	70.6884
0.73	0.0228947	5.68231	31.01	0.872057	72.3546
0.74	0.0236480	5.81319	31.01	0.900753	74.0211
0.76	0.0244108	5.94404	31.02	0.929805	75.6873
0.78	0.0251885	6.07490	31.02	0.959429	77.3536
0.79	0.0259719	6.20579	31.02	0.989268	79.0202
0.81	0.0267756	6.33663	31.03	1.01988	80.6862
0.83	0.0275906	6.46750	31.03	1.05092	82.3526
0.84	0.0284214	6.59836	31.04	1.08257	84.0190
0.86	0.0292610	6.72923	31.04	1.11455	85.6853
0.88	0.0301097	6.86009	31.04	1.14688	87.3516
0.89	0.0309796	6.99094	31.04	1.18001	89.0178
0.91	0.0318562	7.12181	31.05	1.21340	90.6841
0.93	0.0327484	7.25268	31.05	1.24739	92.3506
0.94	0.0336459	7.38355	31.05	1.28157	94.0169
0.96	0.0345626	7.51440	31.06	1.31649	95.6831
0.98	0.0355003	7.64524	31.06	1.35221	97.3492
0.99	0.0364485	7.77611	31.06	1.38832	99.0156
1.01	0.0374120	7.90699	31.07	1.42502	100.682
1.03	0.0383847	8.03785	31.07	1.46207	102.348
1.04	0.0393721	8.16871	31.07	1.49968	104.015
1.06	0.0403766	8.29956	31.08	1.53794	105.681
1.08	0.0414024	8.43042	31.08	1.57702	107.347
1.09	0.0424416	8.56128	31.08	1.61660	109.013
1.11	0.0434891	8.69213	31.09	1.65650	110.680
1.13	0.0445568	8.82302	31.09	1.69717	112.346
1.14	0.0456302	8.95390	31.09	1.73805	114.013
1.16	0.0467143	9.08475	31.10	1.77935	115.679
1.18	0.0478168	9.21561	31.10	1.82134	117.345
1.19	0.0489310	9.34645	31.10	1.86378	119.011
1.21	0.0500672	9.47731	31.10	1.90706	120.677
1.23	0.0512175	9.60818	31.11	1.95087	122.344
1.24	0.0523912	9.73905	31.11	1.99558	124.010
1.26	0.0535703	9.86990	31.11	2.04049	125.676
1.28	0.0547689	10.0007	31.11	2.08615	127.342
1.29	0.0559780	10.1316	31.12	2.13220	129.009
1.31	0.0571981	10.2625	31.12	2.17867	130.675
1.33	0.0584531	10.3933	31.12	2.22648	132.341
1.34	0.0597158	10.5242	31.13	2.27457	134.008
1.36	0.0610046	10.6551	31.13	2.32366	135.674
1.38	0.0623039	10.7859	31.13	2.37316	137.340
1.39	0.0636290	10.9168	31.13	2.42363	139.006
1.41	0.0649670	11.0477	31.14	2.47459	140.674
1.43	0.0663154	11.1785	31.14	2.52595	142.339
1.44	0.0676900	11.3094	31.14	2.57831	144.006
1.46	0.0690668	11.4402	31.14	2.63075	145.671
1.48	0.0704752	11.5711	31.14	2.68440	147.338
1.49	0.0718950	11.7019	31.15	2.73848	149.004
1.51	0.0733360	11.8328	31.15	2.79337	150.670
1.53	0.0747993	11.9637	31.15	2.84910	152.337
1.54	0.0762719	12.0945	31.15	2.90519	154.003
1.56	0.0777727	12.2254	31.16	2.96236	155.669
1.58	0.0792891	12.3562	31.16	3.02012	157.335
1.59	0.0808344	12.4871	31.16	3.07898	159.002
1.61	0.0823943	12.6179	31.16	3.13840	160.668
1.63	0.0839795	12.7488	31.16	3.19878	162.334
1.64	0.0855954	12.8797	31.17	3.26033	164.001
1.66	0.0872183	13.0105	31.17	3.32214	165.667
1.68	0.0888733	13.1414	31.17	3.38518	167.333
1.69	0.0905413	13.2722	31.17	3.44872	168.999
1.71	0.0922433	13.4031	31.17	3.51355	170.665
1.73	0.0939661	13.5340	31.18	3.57917	172.332
1.74	0.0957145	13.6647	31.18	3.64577	173.997
1.76	0.0974919	13.7956	31.18	3.71347	175.664
1.78	0.0992847	13.9264	31.18	3.78175	177.330
1.79	0.101113	14.0573	31.18	3.85138	178.996
1.81	0.102951	14.1881	31.19	3.92139	180.662
1.83	0.104825	14.3190	31.19	3.99279	182.329
1.84	0.106723	14.4499	31.19	4.06506	183.995
1.86	0.108655	14.5807	31.19	4.13865	185.660
1.88	0.110633	14.7116	31.19	4.21401	187.327
1.89	0.112633	14.8424	31.20	4.29017	188.993
1.91	0.114671	14.9732	31.20	4.36782	190.659
1.93	0.116725	15.1041	31.20	4.44606	192.325
1.94	0.118819	15.2350	31.20	4.52580	193.992
1.96	0.120935	15.3659	31.20	4.60641	195.658
1.98	0.123083	15.4967	31.20	4.68823	197.324
1.99	0.125253	15.6275	31.20	4.77090	198.990
2.01	0.127445	15.7584	31.21	4.85437	200.657
2.03	0.129673	15.8892	31.21	4.93924	202.322
2.04	0.131932	16.0201	31.21	5.02529	203.988
2.06	0.134250	16.1509	31.21	5.11359	205.655
2.08	0.136595	16.2818	31.21	5.20288	207.321
2.09	0.138976	16.4126	31.21	5.29361	208.986
2.11	0.141399	16.5435	31.21	5.38587	210.653
2.13	0.143837	16.6743	31.22	5.47877	212.319
2.14	0.146337	16.8051	31.22	5.57397	213.985
2.16	0.148857	16.9360	31.22	5.66997	215.651
2.18	0.151426	17.0668	31.22	5.76782	217.317
2.19	0.154026	17.1977	31.22	5.86685	218.983
2.21	0.156656	17.3285	31.22	5.96702	220.649
2.23	0.159329	17.4594	31.22	6.06884	222.316
2.24	0.162031	17.5902	31.22	6.17174	223.982
2.26	0.164797	17.7210	31.22	6.27711	225.647
2.28	0.167583	17.8519	31.23	6.38322	227.313
2.29	0.170429	17.9827	31.23	6.49165	228.979
2.31	0.173307	18.1135	31.23	6.60127	230.645
2.33	0.176233	18.2444	31.23	6.71270	232.312
2.34	0.179204	18.3753	31.23	6.82587	233.978
2.36	0.182206	18.5061	31.23	6.94024	235.643
2.38	0.185259	18.6369	31.23	7.05653	237.310
2.39	0.188337	18.7678	31.23	7.17375	238.976
2.41	0.191467	18.8986	31.23	7.29297	240.641
2.43	0.194604	19.0295	31.24	7.41246	242.308
2.44	0.197818	19.1603	31.24	7.53490	243.973
2.46	0.201095	19.2911	31.24	7.65972	245.640
2.48	0.204425	19.4219	31.24	7.78654	247.305
2.49	0.207816	19.5527	31.24	7.91571	248.971
2.51	0.211236	19.6835	31.24	8.04597	250.636
2.53	0.214734	19.8145	31.24	8.17921	252.304
2.54	0.218255	19.9453	31.24	8.31331	253.969
2.56	0.221850	20.0761	31.24	8.45027	255.635
2.58	0.225483	20.2069	31.24	8.58863	257.301
2.59	0.229171	20.3377	31.24	8.72913	258.967
