Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-a
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Displacement	Force
min	MPa	%	°C	µm	N
1.58	0.0218324	11.5462	30.36	163.585	0.784737
1.59	0.0227117	11.6638	30.36	165.252	0.816343
1.61	0.0236124	11.7813	30.36	166.917	0.848717
1.63	0.0245292	11.8990	30.36	168.584	0.881669
1.64	0.0254554	12.0166	30.36	170.250	0.914962
1.66	0.0263984	12.1342	30.36	171.917	0.948855
1.68	0.0273486	12.2518	30.36	173.583	0.983011
1.69	0.0283174	12.3694	30.36	175.249	1.01783
1.71	0.0292962	12.4870	30.36	176.915	1.05301
1.73	0.0302879	12.6047	30.36	178.582	1.08866
1.74	0.0312882	12.7223	30.36	180.248	1.12461
1.76	0.0323030	12.8398	30.36	181.913	1.16109
1.78	0.0333357	12.9574	30.36	183.580	1.19821
1.79	0.0343781	13.0751	30.36	185.247	1.23568
1.81	0.0354328	13.1927	30.36	186.913	1.27358
1.83	0.0364915	13.3103	30.36	188.579	1.31164
1.84	0.0375742	13.4279	30.36	190.245	1.35055
1.86	0.0386698	13.5456	30.36	191.912	1.38993
1.88	0.0397790	13.6632	30.36	193.579	1.42980
1.89	0.0409024	13.7808	30.36	195.245	1.47018
1.91	0.0420334	13.8984	30.36	196.911	1.51084
1.93	0.0431795	14.0160	30.36	198.577	1.55203
1.94	0.0443355	14.1336	30.36	200.244	1.59358
1.96	0.0455148	14.2512	30.36	201.910	1.63597
1.98	0.0467071	14.3689	30.36	203.577	1.67883
1.99	0.0479075	14.4865	30.36	205.243	1.72197
2.01	0.0491322	14.6040	30.36	206.908	1.76599
2.03	0.0503665	14.7217	30.36	208.575	1.81036
2.04	0.0516283	14.8393	30.36	210.242	1.85571
2.06	0.0528985	14.9569	30.36	211.908	1.90137
2.08	0.0541818	15.0745	30.36	213.574	1.94749
2.09	0.0554869	15.1921	30.36	215.240	1.99440
2.11	0.0567792	15.3097	30.36	216.907	2.04085
2.13	0.0581088	15.4274	30.36	218.573	2.08865
2.14	0.0594642	15.5450	30.36	220.240	2.13736
2.16	0.0608421	15.6625	30.36	221.905	2.18689
2.18	0.0622374	15.7802	30.36	223.572	2.23704
2.19	0.0636482	15.8978	30.36	225.238	2.28775
2.21	0.0650910	16.0154	30.36	226.904	2.33961
2.23	0.0665429	16.1330	30.36	228.571	2.39180
2.24	0.0680252	16.2506	30.36	230.236	2.44508
2.26	0.0695209	16.3682	30.36	231.903	2.49884
2.28	0.0710463	16.4858	30.36	233.569	2.55367
2.29	0.0725830	16.6034	30.36	235.236	2.60890
2.31	0.0741443	16.7211	30.36	236.902	2.66502
2.33	0.0757323	16.8386	30.36	238.568	2.72210
2.34	0.0773261	16.9562	30.36	240.233	2.77939
2.36	0.0789586	17.0738	30.36	241.900	2.83806
2.38	0.0805010	17.1915	30.36	243.568	2.89350
2.39	0.0821341	17.3091	30.36	245.233	2.95220
2.41	0.0838254	17.4267	30.36	246.899	3.01299
2.43	0.0855306	17.5443	30.36	248.565	3.07428
2.44	0.0872689	17.6619	30.36	250.232	3.13677
2.46	0.0890189	17.7795	30.36	251.898	3.19967
2.48	0.0907955	17.8971	30.36	253.565	3.26353
2.49	0.0925839	18.0146	30.36	255.229	3.32781
2.51	0.0943966	18.1323	30.36	256.897	3.39296
2.53	0.0962358	18.2498	30.36	258.561	3.45907
2.54	0.0980934	18.3675	30.36	260.229	3.52584
