Filename	10172024_PEGDA_PEGMEA_15_Aerosil380_20_LITFSI
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 15p aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
2.68	0.187415	15.5979	30.00	6.01740	273.947
2.69	0.190537	15.6928	30.00	6.11764	275.615
2.71	0.193679	15.7876	30.00	6.21851	277.280
2.73	0.196894	15.8825	30.00	6.32176	278.946
2.74	0.200137	15.9774	30.00	6.42588	280.613
2.76	0.203426	16.0722	29.99	6.53147	282.278
2.78	0.206760	16.1671	29.99	6.63853	283.945
2.79	0.210125	16.2620	29.99	6.74656	285.611
2.81	0.213555	16.3569	29.99	6.85668	287.278
2.83	0.216995	16.4517	29.99	6.96715	288.943
2.84	0.220492	16.5466	29.99	7.07943	290.609
2.86	0.224005	16.6415	29.99	7.19221	292.276
2.88	0.227553	16.7363	29.99	7.30612	293.941
2.89	0.231134	16.8312	29.99	7.42111	295.608
2.91	0.234571	16.9262	29.99	7.53145	297.277
2.93	0.237976	17.0209	29.99	7.64079	298.940
2.94	0.241631	17.1158	29.99	7.75813	300.606
2.96	0.245302	17.2106	29.99	7.87600	302.272
2.98	0.249103	17.3055	29.99	7.99803	303.938
2.99	0.252975	17.4003	29.99	8.12236	305.604
3.01	0.256880	17.4952	29.99	8.24775	307.270
3.03	0.260830	17.5901	29.99	8.37456	308.936
3.04	0.264755	17.6850	29.99	8.50058	310.603
3.06	0.268687	17.7798	29.99	8.62684	312.268
3.08	0.272789	17.8746	29.99	8.75855	313.934
3.09	0.276886	17.9695	29.99	8.89008	315.601
3.11	0.281068	18.0643	29.99	9.02435	317.265
3.13	0.285291	18.1592	29.99	9.15993	318.933
3.14	0.289563	18.2541	29.99	9.29709	320.598
3.16	0.293880	18.3490	29.99	9.43572	322.265
3.18	0.298220	18.4438	29.99	9.57504	323.930
3.19	0.302630	18.5387	29.99	9.71666	325.597
3.21	0.307054	18.6336	29.99	9.85868	327.263
3.23	0.311568	18.7284	29.99	10.0036	328.929
3.24	0.316002	18.8234	29.99	10.1460	330.598
3.26	0.320447	18.9181	29.99	10.2887	332.260
3.28	0.325091	19.0130	29.99	10.4378	333.927
3.29	0.329778	19.1078	29.99	10.5883	335.592
3.31	0.334551	19.2027	29.99	10.7415	337.259
3.33	0.339351	19.2975	29.99	10.8957	338.925
3.34	0.344242	19.3924	29.99	11.0527	340.591
3.36	0.349124	19.4872	29.99	11.2095	342.256
3.38	0.354136	19.5821	29.99	11.3704	343.923
3.39	0.359062	19.6772	29.99	11.5285	345.592
3.41	0.363743	19.7722	29.99	11.6788	347.262
3.43	0.366559	19.8678	29.99	11.7692	348.940
3.44	0.370826	19.9617	29.99	11.9062	350.590
3.46	0.375623	20.0566	29.99	12.0603	352.257
3.48	0.380240	20.1518	29.99	12.2085	353.928
3.49	0.378426	20.2508	29.99	12.1502	355.667
3.51	0.379937	20.3412	29.99	12.1988	357.254
3.53	0.385035	20.4360	29.99	12.3625	358.920
3.54	0.390277	20.5308	29.99	12.5308	360.584
3.56	0.395648	20.6256	29.99	12.7032	362.250
3.58	0.401130	20.7205	29.99	12.8792	363.916
