Filename	10172024_PEGDA_PEGMEA_0_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA no aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
1.49	1.27147e-4	7.32029	30.25	0.0169046	110.480
1.51	1.29119e-4	7.38769	30.25	0.0171668	111.498
1.53	1.30562e-4	7.45508	30.25	0.0173587	112.515
1.54	1.31938e-4	7.52248	30.24	0.0175416	113.532
1.56	1.32860e-4	7.58988	30.24	0.0176641	114.549
1.58	1.35440e-4	7.65726	30.24	0.0180072	115.566
1.59	1.37450e-4	7.72466	30.23	0.0182744	116.583
1.61	1.38794e-4	7.79206	30.23	0.0184532	117.601
1.63	1.40040e-4	7.85947	30.23	0.0186188	118.618
1.64	1.41155e-4	7.92686	30.23	0.0187671	119.635
1.66	1.43612e-4	7.99427	30.23	0.0190937	120.652
1.68	1.45651e-4	8.06168	30.22	0.0193647	121.670
1.69	1.47316e-4	8.12907	30.22	0.0195862	122.687
1.71	1.48827e-4	8.19647	30.22	0.0197871	123.704
1.73	1.50185e-4	8.26387	30.22	0.0199675	124.721
1.74	1.52984e-4	8.33128	30.21	0.0203397	125.739
1.76	1.55077e-4	8.39868	30.21	0.0206180	126.756
1.78	1.56877e-4	8.46609	30.21	0.0208573	127.773
1.79	1.58669e-4	8.53346	30.21	0.0210956	128.790
1.81	1.59983e-4	8.60088	30.20	0.0212703	129.808
1.83	1.63129e-4	8.66825	30.20	0.0216885	130.824
1.84	1.65340e-4	8.73565	30.20	0.0219824	131.842
1.86	1.67125e-4	8.80308	30.20	0.0222198	132.859
1.88	1.69052e-4	8.87044	30.19	0.0224759	133.876
1.89	1.70833e-4	8.93787	30.19	0.0227127	134.894
1.91	1.73940e-4	9.00524	30.19	0.0231259	135.910
1.93	1.76409e-4	9.07268	30.19	0.0234541	136.928
1.94	1.78546e-4	9.14004	30.18	0.0237383	137.945
1.96	1.80424e-4	9.20744	30.18	0.0239879	138.962
1.98	1.82065e-4	9.27484	30.18	0.0242061	139.979
1.99	1.85220e-4	9.34224	30.18	0.0246256	140.997
2.01	1.87949e-4	9.40966	30.17	0.0249885	142.014
2.03	1.90214e-4	9.47702	30.17	0.0252896	143.031
2.04	1.92194e-4	9.54444	30.17	0.0255528	144.048
2.06	1.93721e-4	9.61186	30.17	0.0257558	145.066
2.08	1.96993e-4	9.67923	30.16	0.0261909	146.082
2.09	1.99287e-4	9.74667	30.16	0.0264959	147.100
2.11	2.01517e-4	9.81401	30.16	0.0267923	148.117
2.13	2.03638e-4	9.88144	30.16	0.0270744	149.134
2.14	2.05967e-4	9.94885	30.15	0.0273840	150.152
2.16	2.09273e-4	10.0163	30.15	0.0278236	151.169
2.18	2.11781e-4	10.0836	30.15	0.0281570	152.186
2.19	2.13957e-4	10.1510	30.14	0.0284462	153.203
2.21	2.15844e-4	10.2185	30.14	0.0286972	154.221
2.23	2.17550e-4	10.2858	30.14	0.0289240	155.237
2.24	2.19074e-4	10.3532	30.14	0.0291266	156.255
2.26	2.16564e-4	10.4207	30.14	0.0287929	157.272
2.28	2.17139e-4	10.4880	30.14	0.0288693	158.289
2.29	2.18229e-4	10.5555	30.13	0.0290142	159.307
2.31	2.19873e-4	10.6228	30.13	0.0292329	160.323
2.33	2.23100e-4	10.6903	30.13	0.0296618	161.342
2.34	2.25758e-4	10.7576	30.13	0.0300153	162.358
2.36	2.28128e-4	10.8250	30.12	0.0303303	163.375
2.38	2.30243e-4	10.8924	30.12	0.0306115	164.392
2.39	2.32379e-4	10.9598	30.12	0.0308955	165.410
2.41	2.35688e-4	11.0272	30.12	0.0313355	166.427
2.43	2.38457e-4	11.0946	30.11	0.0317036	167.444
2.44	2.40500e-4	11.1620	30.11	0.0319753	168.461
2.46	2.42828e-4	11.2295	30.11	0.0322848	169.479
2.48	2.45097e-4	11.2968	30.11	0.0325865	170.496
2.49	2.48758e-4	11.3642	30.10	0.0330732	171.513
2.51	2.51694e-4	11.4316	30.10	0.0334636	172.530
2.53	2.54121e-4	11.4990	30.10	0.0337862	173.547
2.54	2.56499e-4	11.5664	30.10	0.0341024	174.565
2.56	2.58760e-4	11.6338	30.09	0.0344030	175.581
2.58	2.62434e-4	11.7012	30.09	0.0348915	176.599
2.59	2.64137e-4	11.7686	30.09	0.0351178	177.616
2.61	2.64681e-4	11.8360	30.09	0.0351902	178.633
2.63	2.65040e-4	11.9034	30.09	0.0352379	179.651
2.64	2.65689e-4	11.9708	30.08	0.0353242	180.668
2.66	2.68020e-4	12.0382	30.08	0.0356341	181.685
2.68	2.69270e-4	12.1056	30.08	0.0358003	182.703
2.69	2.70984e-4	12.1730	30.08	0.0360281	183.720
2.71	2.73586e-4	12.2404	30.08	0.0363741	184.737
2.73	2.76164e-4	12.3078	30.08	0.0367168	185.754
2.74	2.80521e-4	12.3752	30.07	0.0372961	186.771
2.76	2.83744e-4	12.4426	30.07	0.0377246	187.789
2.78	2.86689e-4	12.5100	30.07	0.0381163	188.806
2.79	2.89672e-4	12.5774	30.07	0.0385128	189.823
2.81	2.92389e-4	12.6448	30.07	0.0388741	190.840
2.83	2.96664e-4	12.7122	30.06	0.0394424	191.858
2.84	3.00154e-4	12.7795	30.06	0.0399064	192.874
2.86	3.02821e-4	12.8470	30.06	0.0402611	193.892
2.88	3.05612e-4	12.9144	30.06	0.0406321	194.908
2.89	3.08193e-4	12.9818	30.06	0.0409752	195.926
2.91	3.12191e-4	13.0492	30.06	0.0415069	196.943
2.93	3.15554e-4	13.1166	30.05	0.0419540	197.960
2.94	3.17874e-4	13.1840	30.05	0.0422624	198.978
2.96	3.18820e-4	13.2514	30.05	0.0423881	199.995
2.98	3.12704e-4	13.3189	30.05	0.0415750	201.013
2.99	3.13242e-4	13.3862	30.05	0.0416465	202.029
3.01	3.16587e-4	13.4536	30.04	0.0420913	203.047
3.03	3.19885e-4	13.5210	30.04	0.0425298	204.064
3.04	3.23375e-4	13.5884	30.04	0.0429937	205.081
3.06	3.27301e-4	13.6558	30.04	0.0435157	206.098
3.08	3.32476e-4	13.7232	30.04	0.0442038	207.115
3.09	3.36764e-4	13.7906	30.04	0.0447738	208.132
3.11	3.40741e-4	13.8580	30.04	0.0453026	209.150
3.13	3.44698e-4	13.9254	30.04	0.0458287	210.167
3.14	3.48723e-4	13.9928	30.04	0.0463639	211.184
3.16	3.54243e-4	14.0602	30.04	0.0470978	212.202
3.18	3.59357e-4	14.1276	30.03	0.0477777	213.219
3.19	3.64035e-4	14.1950	30.03	0.0483996	214.236
3.21	3.68384e-4	14.2624	30.03	0.0489779	215.254
3.23	3.73224e-4	14.3298	30.03	0.0496214	216.270
3.24	3.79068e-4	14.3972	30.03	0.0503983	217.287
3.26	3.84147e-4	14.4646	30.03	0.0510736	218.305
3.28	3.89379e-4	14.5320	30.02	0.0517691	219.322
3.29	3.94818e-4	14.5994	30.02	0.0524924	220.340
3.31	4.00797e-4	14.6668	30.02	0.0532873	221.356
3.33	4.08171e-4	14.7342	30.02	0.0542676	222.373
3.34	4.14558e-4	14.8015	30.02	0.0551169	223.390
3.36	4.21201e-4	14.8690	30.02	0.0560000	224.408
3.38	4.27876e-4	14.9363	30.02	0.0568875	225.425
3.39	4.34750e-4	15.0038	30.02	0.0578015	226.443
