Filename	Viscosity_30LiTFSI
Instrument name	5332-2724
Operator	CI
rundate	8/8/2024
Sample name	Viscosity_30LiTFSI
Geometry name	20mm parallel plate, ETC Aluminium, Disposable
Procedure name	Flow sweep
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
MPa	1/s	Pa.s	min	°C	MPa
1.14582e-7	0.0999894	1.14594	0.52		-2.55140e-4
1.34546e-7	0.125828	1.06929	1.04		-2.66655e-4
1.58671e-7	0.158477	1.00123	1.56		-2.77580e-4
1.93178e-7	0.199562	0.968007	2.07		-2.85352e-4
1.85331e-7	0.251265	0.737591	2.59		-2.89727e-4
1.90873e-7	0.316174	0.603697	3.11		-3.00809e-4
1.99244e-7	0.397966	0.500655	3.63		-3.10969e-4
1.84335e-7	0.501067	0.367885	4.15		-3.19668e-4
1.71190e-7	0.630868	0.271357	4.67		-3.26814e-4
2.07336e-7	0.794149	0.261080	5.18		-3.26922e-4
2.57809e-7	0.999675	0.257893	5.70		-3.36749e-4
2.80553e-7	1.25905	0.222830	6.22		-3.41030e-4
2.11878e-7	1.58503	0.133675	6.74		-3.42182e-4
1.35236e-7	1.99423	0.0678136	7.26		-3.45624e-4
9.89076e-8	2.51184	0.0393766	7.78		-3.49218e-4
6.34166e-8	3.16176	0.0200574	8.30		-3.46639e-4
2.58647e-7	3.98100	0.0649703	8.81		-3.60059e-4
5.32658e-7	5.01178	0.106281	9.33		-3.80643e-4
5.62480e-7	6.30867	0.0891598	9.85		-3.73957e-4
4.92897e-7	7.94128	0.0620677	10.37		-3.72234e-4
9.21617e-7	9.99855	0.0921751	10.89		-3.94682e-4
9.25532e-7	12.5884	0.0735226	11.41		-3.93516e-4
1.25267e-6	15.8500	0.0790328	11.92		-3.91402e-4
1.60706e-6	19.9499	0.0805548	12.44		-3.96553e-4
1.98039e-6	25.1069	0.0788782	12.96		-4.16451e-4
2.52044e-6	31.6202	0.0797100	13.48		-4.23187e-4
3.17588e-6	39.8059	0.0797842	14.00		-4.38586e-4
3.95171e-6	50.1063	0.0788664	14.52		-4.54515e-4
4.95787e-6	63.1090	0.0785604	15.03		-4.84013e-4
6.20406e-6	79.4159	0.0781212	15.55		-5.20804e-4
7.77245e-6	99.9962	0.0777275	16.07		-5.45645e-4
9.76417e-6	125.886	0.0775635	16.59		-5.68404e-4
1.22058e-5	158.480	0.0770179	17.11		-5.78599e-4
1.52020e-5	199.546	0.0761830	17.63		-5.81141e-4
1.90559e-5	251.141	0.0758775	18.14		-5.76850e-4
2.37823e-5	316.267	0.0751969	18.66		-5.74089e-4
2.97567e-5	398.028	0.0747604	19.18		-5.66121e-4
3.70579e-5	501.082	0.0739557	19.70		-5.66652e-4
4.64419e-5	630.919	0.0736099	20.22		-5.52047e-4
5.77985e-5	794.217	0.0727742	20.74		-5.43525e-4
7.25903e-5	1000.10	0.0725830	21.25		-5.49817e-4

