Filename	30Li_15Aerosil_10July (1)
Instrument name	5332-2724
Operator	
rundate	7/10/2024
Sample name	30Li_15Aerosil_10July
Geometry name	UV disposable plate 102423
Procedure name	Flow sweep
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
MPa	1/s	Pa.s	min	°C	MPa
1.14834e-3	0.0999875	11484.8	0.52		-3.15251e-4
1.15673e-3	0.125862	9190.42	1.04		-4.19293e-4
1.16080e-3	0.158471	7325.00	1.55		-4.01088e-4
1.15715e-3	0.199496	5800.37	2.07		-5.05819e-4
1.14574e-3	0.251190	4561.24	2.59		-2.11676e-3
1.11357e-3	0.316288	3520.74	3.11		-2.12723e-3
1.01284e-3	0.398086	2544.27	3.63		-2.95732e-3
9.52546e-4	0.501157	1900.69	4.15		-2.06708e-3
8.87781e-4	0.630885	1407.20	4.66		7.87645e-4
8.43638e-4	0.794293	1062.12	5.18		3.74034e-3
8.15701e-4	0.999903	815.780	5.70		4.97984e-3
8.26661e-4	1.25888	656.663	6.22		3.76481e-3
8.65975e-4	1.58476	546.440	6.74		1.86526e-3
8.55430e-4	1.99531	428.721	7.25		2.35146e-3
8.25065e-4	2.51175	328.482	7.77		2.11547e-3
8.22830e-4	3.16210	260.216	8.29		1.83012e-3
8.34075e-4	3.98052	209.539	8.81		4.13684e-4
9.68590e-4	5.01125	193.283	9.33		1.13475e-4
1.08918e-3	6.30856	172.651	9.85		1.96646e-3
1.17766e-3	7.94312	148.261	10.37		-5.16742e-4
1.02417e-3	9.99998	102.418	10.88		7.58336e-4
1.33200e-3	12.5881	105.814	11.40		1.54206e-4
1.33175e-3	15.8492	84.0266	11.92		1.09487e-3
1.33832e-3	19.9532	67.0729	12.44		4.66805e-4
1.16935e-3	25.1127	46.5640	12.96		-5.60139e-4
1.25951e-3	31.6177	39.8356	13.48		-6.99164e-4
1.17132e-3	39.8052	29.4262	13.99		-6.71991e-4
9.37487e-4	50.1130	18.7075	14.51		-5.73131e-4
9.08938e-4	63.0908	14.4068	15.03		-3.20138e-4
7.41052e-4	79.4250	9.33022	15.55		-4.88762e-4
6.40621e-4	100.001	6.40612	16.07		-5.54219e-4
5.85972e-4	125.878	4.65507	16.59		4.43778e-6
4.89055e-4	158.476	3.08599	17.10		-4.18941e-4
4.53974e-4	199.474	2.27586	17.62		-3.52582e-4
4.27278e-4	251.149	1.70129	18.14		-1.89397e-4
4.38317e-4	316.172	1.38632	18.66		-1.89702e-4
3.97747e-4	398.107	0.999096	19.18		-7.93773e-5
3.41831e-4	501.144	0.682102	19.70		-1.37050e-4
3.27314e-4	630.861	0.518836	20.21		-4.27919e-5
3.38131e-4	794.262	0.425718	20.73		9.76777e-6
4.12353e-4	999.963	0.412368	21.25		-3.53019e-5
4.21706e-4	1258.82	0.335002	21.77		-3.41007e-5
4.36723e-4	1584.73	0.275581	22.28		-8.12465e-5
4.83363e-4	1994.89	0.242300	22.80		-1.24058e-4
5.11455e-4	2511.79	0.203622	23.32		-1.22999e-4
5.48741e-4	3162.78	0.173500	23.84		-5.84125e-5
5.91321e-4	3980.65	0.148549	24.36		-6.90361e-5
6.47578e-4	4999.39	0.129531	24.88		-3.53574e-5

