Filename	PEGDA_PEGMEA_NO_FILLER_VISCOSITY
Instrument name	5332-2724
Operator	MM
rundate	6/25/2024
Sample name	PEGDA_PEGMEA_NO_FILLER_VISCOSITY
Geometry name	20mm UV parallel plate, UHP Aluminium, Disposable
Procedure name	Flow sweep
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
MPa	1/s	Pa.s	min	°C	MPa
-5.32073e-8	0.100087	-0.531610	0.53		-2.27971e-4
-9.68702e-8	0.125763	-0.770258	1.05		-2.29504e-4
-9.78183e-8	0.158534	-0.617016	1.56		-2.27230e-4
-1.53980e-7	0.199548	-0.771646	2.08		-2.26848e-4
-1.94003e-7	0.251196	-0.772315	2.60		-2.27106e-4
-1.92721e-7	0.316224	-0.609444	3.12		-2.22537e-4
-1.71658e-7	0.398099	-0.431193	3.64		-2.21211e-4
-6.88782e-8	0.500886	-0.137513	4.16		-2.23338e-4
6.06721e-8	0.631018	0.0961496	4.68		-2.19014e-4
5.26135e-8	0.794389	0.0662314	5.19		-2.19163e-4
1.33066e-7	0.999926	0.133075	5.71		-2.11226e-4
2.85656e-7	1.25925	0.226847	6.23		-2.12863e-4
1.12066e-7	1.58537	0.0706875	6.75		-2.16809e-4
-1.15727e-7	1.99502	-0.0580080	7.27		-2.24442e-4
-7.27721e-8	2.51203	-0.0289694	7.79		-2.14557e-4
1.51367e-7	3.16194	0.0478715	8.30		-2.09026e-4
1.13259e-7	3.98191	0.0284435	8.82		-2.15612e-4
3.84949e-8	5.01229	7.68010e-3	9.34		-2.04780e-4
1.69507e-7	6.30887	0.0268680	9.86		-2.14866e-4
2.16914e-7	7.94400	0.0273054	10.38		-2.09815e-4
2.18747e-7	10.0023	0.0218697	10.89		-2.08096e-4
2.41222e-7	12.5899	0.0191599	11.41		-2.11156e-4
3.51927e-7	15.8532	0.0221991	11.93		-2.08282e-4
4.30826e-7	19.9523	0.0215928	12.45		-2.10805e-4
5.42374e-7	25.1187	0.0215924	12.97		-2.13569e-4
6.88370e-7	31.6253	0.0217664	13.49		-2.12366e-4
8.56347e-7	39.8109	0.0215104	14.00		-2.12569e-4
1.09990e-6	50.1185	0.0219460	14.52		-2.10747e-4
1.38550e-6	63.0954	0.0219588	15.04		-2.06406e-4
1.75431e-6	79.4334	0.0220853	15.56		-2.05541e-4
2.13871e-6	100.008	0.0213855	16.08		-2.07307e-4
2.77491e-6	125.891	0.0220422	16.60		-2.08697e-4
3.40498e-6	158.492	0.0214836	17.11		-2.08300e-4
4.45404e-6	199.561	0.0223192	17.63		-2.06928e-4
5.59401e-6	251.234	0.0222661	18.15		-2.11010e-4
6.91754e-6	316.278	0.0218717	18.67		-2.09597e-4
8.52770e-6	398.115	0.0214202	19.19		-2.06260e-4
1.07898e-5	501.209	0.0215275	19.71		-2.12950e-4
1.35984e-5	630.956	0.0215520	20.22		-2.17316e-4
1.64778e-5	794.337	0.0207442	20.74		-2.25727e-4
2.13341e-5	1000.07	0.0213326	21.26		-2.43403e-4
2.75080e-5	1258.85	0.0218517	21.78		-2.61865e-4
3.43679e-5	1584.95	0.0216839	22.30		-2.76963e-4
4.20890e-5	1995.58	0.0210911	22.82		-2.95047e-4
4.34507e-5	2000.31	0.0217220	23.33		-3.02390e-4

